sample	kind	channel	note	velocity
0	on	10	36	110
2880	off	10	36	0
24000	on	10	37	85
26880	off	10	37	0
48000	on	10	37	85
50880	off	10	37	0
72000	on	10	37	85
74880	off	10	37	0
95744	off	10	36	0
95744	off	10	37	0
95773	on	2	36	122
96000	on	10	49	114
96000	on	10	51	96
96066	on	10	36	115
96256	on	2	36	86
96256	off	2	36	0
98304	on	2	36	86
98304	off	2	36	0
102000	off	10	51	0
102066	off	10	36	0
102400	on	2	36	86
102400	off	2	36	0
104448	on	2	36	86
104448	off	2	36	0
108032	on	2	36	86
108032	off	2	36	0
110080	on	2	36	86
110080	off	2	36	0
114176	on	2	36	86
114176	off	2	36	0
116224	on	2	36	86
116224	off	2	36	0
125952	off	2	36	0
126000	on	2	36	86
128000	on	2	36	86
128000	off	2	36	0
132096	on	2	36	86
132096	off	2	36	0
134144	on	2	36	86
134144	off	2	36	0
143872	on	10	51	97
143883	on	10	36	121
149872	off	10	51	0
149883	off	10	36	0
150016	on	2	36	86
150016	off	2	36	0
152064	on	2	36	86
152064	off	2	36	0
156000	off	10	49	0
162304	on	2	36	86
162304	off	2	36	0
164352	on	2	36	86
164352	off	2	36	0
168448	on	2	36	86
168448	off	2	36	0
170496	on	2	36	86
170496	off	2	36	0
174080	on	2	36	86
174080	off	2	36	0
176128	on	2	36	86
176128	off	2	36	0
180224	on	2	36	86
180224	off	2	36	0
182272	on	2	36	86
182272	off	2	36	0
192000	on	2	36	86
192000	on	10	36	122
192000	off	2	36	0
192071	on	10	51	100
194048	on	2	36	86
194048	off	2	36	0
198000	off	10	36	0
198071	off	10	51	0
198144	on	2	36	86
198144	off	2	36	0
200192	on	2	36	86
200192	off	2	36	0
209920	off	2	36	0
210000	on	2	36	86
211968	on	2	36	86
211968	off	2	36	0
215983	on	10	38	114
216576	on	2	36	86
216576	off	2	36	0
218624	on	2	36	86
218624	off	2	36	0
221983	off	10	38	0
228352	on	2	36	86
228352	off	2	36	0
230400	on	2	36	86
230400	off	2	36	0
234496	on	2	36	86
234496	off	2	36	0
236544	on	2	36	86
236544	off	2	36	0
239690	on	10	36	126
239952	on	10	51	89
240128	on	2	36	86
240128	off	2	36	0
242176	on	2	36	86
242176	off	2	36	0
245690	off	10	36	0
245952	off	10	51	0
246272	on	2	36	86
246272	off	2	36	0
248320	on	2	36	86
248320	off	2	36	0
